Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
0.0,0.969686,0.688709,1.480385,1.222833,0.124963,-0.037928,-1.32374,0.792752,-2.856455,-0.106858,0.734684,0.750809,DO_mg.L,train,0,rnn
0.5,0.970898,0.723643,1.849927,1.149145,0.122717,-0.070264,-1.599126,0.742185,-4.499156,0.051649,0.776938,0.748808,DO_mg.L,train,0,rnn
1.0,0.928778,0.7458,1.666675,1.109351,0.12047,0.001843,-1.426197,0.67563,-4.732318,0.080301,0.792539,0.768301,DO_mg.L,train,0,rnn
1.5,0.909461,0.754345,1.560663,1.121703,0.120659,0.048985,-1.316703,0.667558,-4.562777,0.057499,0.799806,0.784632,DO_mg.L,train,0,rnn
2.0,0.920595,0.747116,1.56325,1.145003,0.123729,0.08352,-1.299859,0.643826,-4.461449,-0.057372,0.792418,0.791273,DO_mg.L,train,0,rnn
2.5,0.924869,0.752256,1.663994,1.149002,0.125211,0.021255,-1.377104,0.595959,-5.314667,-0.162588,0.795334,0.801523,DO_mg.L,train,0,rnn
3.0,0.937269,0.741731,1.76814,1.124621,0.125454,-0.095887,-1.462075,0.465577,-5.389163,-0.238279,0.785159,0.80968,DO_mg.L,train,0,rnn
3.5,0.970906,0.73125,1.683953,1.360656,inf,-0.082191,-1.379238,0.609832,-5.321154,-0.959424,,0.809369,DO_mg.L,train,0,rnn
4.0,1.031055,0.718134,1.548263,1.56195,inf,0.005121,-1.243623,0.822759,-6.550852,-1.720262,,0.797993,DO_mg.L,train,0,rnn
4.5,1.128906,0.715577,1.414873,2.093324,inf,0.047213,-1.125559,1.420739,-8.005663,-3.822556,,0.767659,DO_mg.L,train,0,rnn
5.0,1.140551,0.745199,1.315075,1.994099,inf,0.018726,-1.007301,1.441916,-9.450383,-1.957181,,0.784325,DO_mg.L,train,0,rnn
5.5,1.165098,0.765601,1.491432,1.674779,inf,-0.065231,-1.178023,1.144066,-17.285298,-1.188458,,0.813657,DO_mg.L,train,0,rnn
6.0,1.188749,0.786786,1.585694,1.672481,inf,-0.128945,-1.213597,1.082347,-28.87544,-1.74014,,0.827417,DO_mg.L,train,0,rnn
6.5,1.250619,0.779974,1.609867,1.583293,inf,0.02842,-1.096773,1.135041,-28.107378,-6.597761,,0.82695,DO_mg.L,train,0,rnn
7.0,1.212304,0.807262,1.405613,1.460068,inf,0.147845,-0.830985,1.1018,-16.805755,-1058.843048,,0.831988,DO_mg.L,train,0,rnn
7.5,1.182606,0.822788,1.035229,1.314385,inf,0.209172,-0.573499,0.95345,-6.245916,-11955.157546,,0.847778,DO_mg.L,train,0,rnn
8.0,1.086156,0.856412,0.932682,1.213193,inf,0.043104,-0.488145,0.689531,-4.087226,-1831100.751486,,0.902653,DO_mg.L,train,0,rnn
8.5,1.045699,0.871509,1.056032,,inf,0.010925,-0.48678,,-5.318502,,,0.91572,DO_mg.L,train,0,rnn
9.0,0.982517,0.89074,0.913566,,inf,0.04601,-0.430683,,-4.291296,,,0.929023,DO_mg.L,train,0,rnn
9.5,0.971617,0.897047,0.915658,,inf,0.093688,-0.417244,,-3.641751,,,0.926842,DO_mg.L,train,0,rnn
10.0,0.982274,0.897287,1.004818,,inf,0.129581,-0.424665,,-4.283904,,,0.921718,DO_mg.L,train,0,rnn
